school_name,school_about,school_location,country,type,total_student,international_student,accomodation_feature,work_permit_feature,program_cooporation,work_while_study,condition_offer_letter,library,founded,program_name,description,duration,grade_score,overall_band,pte_score, tofel_point,ielts_listening,ielts_speaking,ielts_writting,ielts_reading,new_stream,stream_id,other_fees,application_fee,tution_fee_per_semester,cost_of_living,currency,acceptance_letter,intake_id,visa_processing_days,process_days,program_level,Others Comment,Foundation Fee,acceptable_band,module,english_language,program_sort_order
University Preparation College,"University Preparation College (UPC)�commits to sustainable & quality education and recognises education as a fundamental human right. We provide lifetime training for Australian and international students in English, Childcare, Accounting, Business, Management and Marketing under study environments which allow our students to�learn smarter, learn better. UPC graduates either join the workforce or articulate to bachelor degrees at many Australian universities.","level 1/27 Greenfield Parade, Bankstown NSW 2200, Australia",Australia,"2,4",3000,760,yes,yes,yes,yes,no,yes,2002,Certificate  in Leadership Management,This qualification reflects the role of individuals working as developing and emerging leaders and managers in a range of enterprise and industry contexts.,2 sem,50,5.5,50,59,5,5,5,5,"7,8,9,10",3,390,150,5000,20290,AUD,20 days,"2,7,11",,1 year,2,Section 1 University 50% Section 2 University 55% to 60% marks Section 3 60% to 70%,,5.5,4,,
University Preparation College,"University Preparation College (UPC)�commits to sustainable & quality education and recognises education as a fundamental human right. We provide lifetime training for Australian and international students in English, Childcare, Accounting, Business, Management and Marketing under study environments which allow our students to�learn smarter, learn better. UPC graduates either join the workforce or articulate to bachelor degrees at many Australian universities.","level 1/27 Greenfield Parade, Bankstown NSW 2200, Australia",Australia,"2,4",3000,760,yes,yes,yes,yes,no,yes,2002,Certificate in  Business,"As well as assuming responsibility for their own performance, individuals at this level provide leadership, guidance and support to others. They also have some responsibility for organising and monitoring the output of their team",2 sem,50,5.5,50,59,5,5,5,5,"7,8,9,10",3,390,150,5000,20290,AUD,20 days,"2,7,11",,1 year,2,Section 1 University 50% Section 2 University 55% to 60% marks Section 3 60% to 70%,,5.5,4,,
Charles Darwin University,"University Preparation College (UPC)�commits to sustainable & quality education and recognises education as a fundamental human right. We provide lifetime training for Australian and international students in English, Childcare, Accounting, Business, Management and Marketing under study environments which allow our students to�learn smarter, learn better. UPC graduates either join the workforce or articulate to bachelor degrees at many Australian universities.","Ellengowan Dr, Casuarina NT 0810, Australia",Australia,"2,5",22083,3000,yes,yes,yes,yes,no,yes,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Darwin University,"Charles Darwin University is an Australian public university with about 22,083 students as of 2011. It was established in 2003 after the merger of Northern Territory University of Darwin with the Menzies","Ellengowan Dr, Casuarina NT 0810, Australia",Australia,"2,5",22083,3000,yes,yes,yes,yes,no,yes,2003,Bachelors of Commerce,"The course is both challenging and rewarding, designed to give you the specialised knowledge and advanced skills to conduct important research projects in your chosen field.",6 sem,60,6,70,,6,6,6,6,"7,8,9,10,20",3,390,,11000,20290,AUD,20 days,"2,7,11",,3 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
Charles Darwin University,"Charles Darwin University is an Australian public university with about 22,083 students as of 2011. It was established in 2003 after the merger of Northern Territory University of Darwin with the Menzies","Ellengowan Dr, Casuarina NT 0810, Australia",Australia,"2,5",22083,3000,yes,yes,yes,yes,no,yes,2003,Bachelors of Accounting,"This vocationally oriented and student-centred course provides students with employment and professional skills needed in a rapidly changing business environment. It allows for flexibility of study and prepares students for careers in a variety of business fields. In addition, communication, presentation and problem-solving skills are emphasised.",6 sem,60,6,70,,6,6,6,6,"7,8,9,10,20",3,390,,11000,20290,AUD,20 days,"2,7,11",,3 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
Charles Darwin University,"Charles Darwin University is an Australian public university with about 22,083 students as of 2011. It was established in 2003 after the merger of Northern Territory University of Darwin with the Menzies","Ellengowan Dr, Casuarina NT 0810, Australia",Australia,"2,5",22083,3000,yes,yes,yes,yes,no,yes,2003,MPA,"The Master of Professional Accounting complements your non-accounting or partial accounting qualifications to meet the entry requirements for membership of CPA Australia and The Chartered Accountants of Australia and New Zealand (CAANZ). The course focuses on the knowledge and skills required for practice as a public or chartered accountant, effective management, accountability and control, and effective decision-making for financial success.",4 sem,50,6.5,80,,6.5,6.5,6.5,6.5,"7,8,9,10,20",3,390,,6500,20290,AUD,20 days,"2,7,11",,2 year,2,Section 1 University 50% Section 2 University 55% to 60% marks Section 3 60% to 70%,,5.5,4,,
Charles Darwin University,"Charles Darwin University is an Australian public university with about 22,083 students as of 2011. It was established in 2003 after the merger of Northern Territory University of Darwin with the Menzies","Ellengowan Dr, Casuarina NT 0810, Australia",Australia,"2,5",22083,3000,yes,yes,yes,yes,no,yes,2003,MBA,"This course complements your current business qualifications and is designed to develop the key attributes and skills needed to move into senior and middle management positions in the business areas of commerce, industry and the public sector.",4 sem,50,6.5,80,,6.5,6.5,6.5,6.5,"7,8,9,10,20",3,390,,6500,20290,AUD,20 days,"2,7,11",,2 year,2,Section 1 University 50% Section 2 University 55% to 60% marks Section 3 60% to 70%,,5.5,4,,
Federation University Australia,"Federation University Australia�(FedUni) is a public,�dual-sector�university�based in�Ballarat�in�Victoria,�Australia. The university also has campuses in�Ararat,�Horsham,�Stawell,�Churchill, and�Berwick, as well as online�technical and further education�(TAFE) courses and Horsham's Higher Education Nursing program.","University Dr, Mount Helen VIC 3350, Australia",Australia,"2,5",16592,4000,yes,yes,yes,yes,no,yes,1870�,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federation University Australia,"Federation University Australia�(FedUni) is a public,�dual-sector�university�based in�Ballarat�in�Victoria,�Australia. The university also has campuses in�Ararat,�Horsham,�Stawell,�Churchill, and�Berwick, as well as online�technical and further education�(TAFE) courses and Horsham's Higher Education Nursing program.","University Dr, Mount Helen VIC 3350, Australia",Australia,"2,5",16592,4000,yes,yes,yes,yes,no,yes,1870�,Bachelors of Accounting,"�Bachelor of Commerce (Accounting) you will study accounting, law and economics and finance as part of your commence degree, and can choose from subjects like taxation law, auditing and financial planning to specialise your skills in accounting. When you graduate from our degree, you can then go on to gain professional accounting accreditation.",6 sem,60,6,70,,6,6,6,6,"7,8,9,10,20",3,390,,12000,20290,AUD,20 days,"2,7,11",,3 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
Federation University Australia,"Federation University Australia�(FedUni) is a public,�dual-sector�university�based in�Ballarat�in�Victoria,�Australia. The university also has campuses in�Ararat,�Horsham,�Stawell,�Churchill, and�Berwick, as well as online�technical and further education�(TAFE) courses and Horsham's Higher Education Nursing program.","University Dr, Mount Helen VIC 3350, Australia",Australia,"2,5",16592,4000,yes,yes,yes,yes,no,yes,1870�,Bachelors of Information Technology,"You will develop strong communication, academic and problem solving skills; critical attributes for success in the Accounting and�IT sectors. You will learn programming skills to facilitate smooth communication with software developers, and explore web design, systems modelling and user experience.",6 sem,60,6,70,,6,6,6,6,"1,2,5",24,390,,12000,20290,AUD,20 days,"2,7,11",,3 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
Federation University Australia,"Federation University Australia�(FedUni) is a public,�dual-sector�university�based in�Ballarat�in�Victoria,�Australia. The university also has campuses in�Ararat,�Horsham,�Stawell,�Churchill, and�Berwick, as well as online�technical and further education�(TAFE) courses and Horsham's Higher Education Nursing program.","University Dr, Mount Helen VIC 3350, Australia",Australia,"2,5",16592,4000,yes,yes,yes,yes,no,yes,1870�,Bachelors of information Technology Business Stream,"Business information systems courses enable you to develop skills in business processes, and study courses in data and information management, enterprise systems and business intelligence, which are essential in employers from hospitals to government, engineering to logistics and more.",6 sem,60,6,70,,6,6,6,6,"1,2,5,7,8",24,390,,12000,20290,AUD,20 days,"2,7,11",,3 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
Federation University Australia,"Federation University Australia�(FedUni) is a public,�dual-sector�university�based in�Ballarat�in�Victoria,�Australia. The university also has campuses in�Ararat,�Horsham,�Stawell,�Churchill, and�Berwick, as well as online�technical and further education�(TAFE) courses and Horsham's Higher Education Nursing program.","University Dr, Mount Helen VIC 3350, Australia",Australia,"2,5",16592,4000,yes,yes,yes,yes,no,yes,1870�,Masters of Business,"This Masters by Research program sees candidates working with a Principal Supervisor, appointed by the Research Higher Degrees Sub Committee, with the approval of the School.",4 sem,50,6,80,,6.5,6.5,6.5,6.5,"7,8,9,10,20",3,390,,7000,20290,AUD,20 days,"2,7,11",,2 year,2,Section 1 University 50% Section 2 University 55% to 60% marks Section 3 60% to 70%,,5.5,4,,
Federation University Australia,"Federation University Australia�(FedUni) is a public,�dual-sector�university�based in�Ballarat�in�Victoria,�Australia. The university also has campuses in�Ararat,�Horsham,�Stawell,�Churchill, and�Berwick, as well as online�technical and further education�(TAFE) courses and Horsham's Higher Education Nursing program.","University Dr, Mount Helen VIC 3350, Australia",Australia,"2,5",16592,4000,yes,yes,yes,yes,no,yes,1870�,Masters of professional Accounting,"A course designed for students whose first degree is in a non-accounting field and provides you with a comprehensive program of study in accounting theory and practice that is recognised by both CPA Australia and Chartered Accountants Australia and New Zealand, enabling you to pursue a pathway to qualification as a professional accountant.",4 sem,50,6,80,,6.5,6.5,6.5,6.5,"7,8,9,10,20",3,390,,7000,20290,AUD,20 days,"2,7,11",,2 year,2,Section 1 University 50% Section 2 University 55% to 60% marks Section 3 60% to 70%,,5.5,4,,
Federation University Australia,"Federation University Australia�(FedUni) is a public,�dual-sector�university�based in�Ballarat�in�Victoria,�Australia. The university also has campuses in�Ararat,�Horsham,�Stawell,�Churchill, and�Berwick, as well as online�technical and further education�(TAFE) courses and Horsham's Higher Education Nursing program.","University Dr, Mount Helen VIC 3350, Australia",Australia,"2,5",16592,4000,yes,yes,yes,yes,no,yes,1870�,Masters of Enterprises ,"This program provides students with an opportunity to gain up to date knowledge and skills to analyse, implement and use ES. It further enhances the student ability to comprehend how and why these systems provide economic, technological, operational and strategic value to an adopting organisation. It unleashes the strategies to manage ES implementation in order to achieve the anticipated benefits.",4 sem,50,6,80,,6.5,6.5,6.5,6.5,"7,8,9,10",3,390,,7000,20290,AUD,20 days,"2,7,11",,2 year,2,Section 1 University 50% Section 2 University 55% to 60% marks Section 3 60% to 70%,,5.5,4,,
Federation University Australia,"Federation University Australia�(FedUni) is a public,�dual-sector�university�based in�Ballarat�in�Victoria,�Australia. The university also has campuses in�Ararat,�Horsham,�Stawell,�Churchill, and�Berwick, as well as online�technical and further education�(TAFE) courses and Horsham's Higher Education Nursing program.","University Dr, Mount Helen VIC 3350, Australia",Australia,"2,5",16592,4000,yes,yes,yes,yes,no,yes,1870�,Masters Of Technology Software,"Graduates of this program will have the specialist knowledge required to understand and implement advanced software engineering techniques - design, implement and maintain IT systems using a well-informed software engineering approach and create high quality software in a systematic and efficient manner. Graduates may find employment in a wide range of industries including security and defence, education, aerospace, health, business and finance.",4 sem,50,6,80,,6.5,6.5,6.5,6.5,"1,2,5",24,390,,7000,20290,AUD,20 days,"2,7,11",,2 year,2,Section 1 University 50% Section 2 University 55% to 60% marks Section 3 60% to 70%,,5.5,4,,
University of Sunshine Coast,"The University of the Sunshine Coast is a public university based on the Sunshine Coast, Queensland, Australia. After opening with 524 students in 1996 as the Sunshine Coast University College, it was later renamed the University of the Sunshine Coast in 1999","90 Sippy Downs Dr, Sippy Downs QLD 4556, Australia",Australia,"2,5",15967,5064,yes,yes,yes,yes,no,yes,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Sunshine Coast,"The University of the Sunshine Coast is a public university based on the Sunshine Coast, Queensland, Australia. After opening with 524 students in 1996 as the Sunshine Coast University College, it was later renamed the University of the Sunshine Coast in 1999","90 Sippy Downs Dr, Sippy Downs QLD 4556, Australia",Australia,"2,5",15967,5064,yes,yes,yes,yes,no,yes,1994,Bachelor of Business,"Today�s business world needs critical, creative thinkers, who have broad skillsets and the ability to adapt to new markets. Whether you want to work in economics, international business, digital marketing, social enterprise or as an entrepreneur, this program gives you the skills and knowledge you need to make an impact across a changing economy.",6 sem,60,6,70,,6,6,6,6,"7,8,9,10,20",24,390,,11250,20290,AUD,20 days,"2,7,11",,3 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
